,DFS_time,DFS_len,BFS_time,BFS_len,AStar_time,AStar_len
460,0.0,14,0.0010006427764892578,14,0.0,14
461,0.0,5,0.0,5,0.0,5
462,0.0,24,0.0,14,0.0,14
463,0.0,35,0.0,23,0.0,31
464,0.0,4,0.0,4,0.0,4
465,0.0,26,0.0,4,0.0,4
466,0.0,15,0.0,13,0.0,13
467,0.0,10,0.0,10,0.0,14
468,0.0,4,0.0,4,0.0009996891021728516,4
469,0.0,24,0.0,24,0.0,24
470,0.0,12,0.0,8,0.0,8
471,0.0,25,0.0,9,0.0,9
472,0.0,28,0.0,6,0.0,6
473,0.0,18,0.0,8,0.0,8
474,0.0,22,0.0,18,0.0,18
475,0.0,19,0.0,11,0.0,11
476,0.0,24,0.0,4,0.0,4
477,0.0,36,0.0,24,0.0,24
478,0.0,17,0.0,11,0.0010001659393310547,17
479,0.0,13,0.0,13,0.0,13
480,0.0,21,0.0,17,0.0,29
481,0.0,28,0.0,4,0.0,4
482,0.0,30,0.0,4,0.0,4
483,0.0,30,0.0,30,0.0,30
484,0.0,23,0.0,23,0.0,23
485,0.0,4,0.0,4,0.0,4
486,0.0,32,0.0,8,0.0,32
487,0.0,22,0.0,8,0.0010006427764892578,8
488,0.0,31,0.0,13,0.0,15
489,0.0,14,0.0,14,0.0,14
490,0.0,8,0.0,6,0.0010004043579101562,6
491,0.0,5,0.0,5,0.0,5
492,0.0,3,0.0,3,0.0,3
493,0.0,30,0.0,30,0.0,40
494,0.0,8,0.0,4,0.0,4
495,0.0,22,0.0,8,0.0,8
496,0.0,22,0.0,12,0.0,12
497,0.0,28,0.0,10,0.0,10
498,0.0,31,0.0,13,0.0,19
